ANT,NOR,PIA,RUS,VER,HAM,COL,LEC,SAI,ALB,BEA,BOR,OCO,LIN,ALO,PER,STR,BOT,HUL,LAW,GAS,HAD
93.0,38.0,33.0,67.0,22.0,43.0,7.0,46.0,4.0,1.0,16.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,4.0
108.0,56.0,41.0,92.0,28.0,53.0,8.0,58.0,4.0,1.0,18.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,4.0
133.0,71.0,51.0,104.0,34.0,61.0,10.0,76.0,4.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,4.0
148.0,89.0,57.0,129.0,44.0,69.0,12.0,88.0,4.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,5.0
163.0,114.0,69.0,147.0,52.0,71.0,18.0,98.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,5.0
175.0,139.0,87.0,162.0,60.0,77.0,20.0,108.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,35.0,6.0
200.0,154.0,105.0,172.0,68.0,81.0,22.0,120.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0,7.0
210.0,179.0,120.0,190.0,76.0,82.0,24.0,132.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,47.0,11.0
228.0,194.0,132.0,215.0,84.0,83.0,26.0,142.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,15.0
243.0,206.0,150.0,240.0,90.0,84.0,28.0,152.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,61.0,19.0
268.0,221.0,168.0,252.0,96.0,85.0,30.0,162.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,69.0,23.0
283.0,239.0,193.0,264.0,104.0,89.0,31.0,172.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,75.0,25.0
298.0,257.0,218.0,274.0,110.0,93.0,32.0,184.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,83.0,27.0
316.0,269.0,233.0,299.0,116.0,94.0,36.0,194.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,91.0,29.0
334.0,284.0,245.0,324.0,122.0,95.0,40.0,204.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,99.0,31.0
349.0,302.0,255.0,349.0,128.0,97.0,41.0,216.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,107.0,35.0
361.0,317.0,280.0,367.0,134.0,98.0,45.0,226.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,115.0,37.0
376.0,329.0,305.0,385.0,140.0,102.0,47.0,236.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,123.0,38.0
394.0,344.0,330.0,397.0,146.0,106.0,49.0,246.0,5.0,1.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,131.0,39.0
